37 *C
Temperature: 28.75 *C
e: 29.59 *C
Temperature: 28.38 *C
Temperature: 27.69 *C
Temperature: 27.59 *C
Temperature: 25.37 *C
Temperature: 28.75 *C
Temperature: 32.20 *C
Temperature: 24.13 *C
Temperature: 28.15 *C
Temperature: 30.39 *C
Temperature: 28.15 *C
Temperature: 28.21 *C
Temperature: 28.69 *C
Temperature: 27.97 *C
Temperature: 29.08 *C
Temperature: 28.11 *C
Temperature: 28.21 *C
Temperature: 24.34 *C
Temperature: 28.12 *C
Temperature: 27.04 *C
Temperature: 28.14 *C
Temperature: 28.15 *C
Temperature: 28.02 *C
Temperature: 27.06 *C
Temperature: 25.47 *C
Temperature: 28.16 *C
Temperature: 24.13 *C
Temperature: 25.39 *C
Temperature: 27.88 *C
Temperature: 28.06 *C
Temperature: 28.87 *C
Temperature: 29.20 *C
Temperature: 28.44 *C
Temperature: 27.81 *C
Temperature: 27.39 *C
Temperature: 28.29 *C
Temperature: 32.14 *C
Temperature: 27.90 *C
Temperature: 29.32 *C
Temperature: 28.23 *C
Temperature: 27.83 *C
Temperature: 28.64 *C
Temperature: 28.33 *C
Temperature: 27.52 *C
Temperature: 25.19 *C
Temperature: 27.74 *C
Temperature: 29.08 *C
Temperature: 27.94 *C
Temperature: 31.13 *C
Temperature: 29.75 *C
Temperature: 29.50 *C
Temperature: 29.52 *C
Temperature: 30.50 *C
Temperature: 27.81 *C
Temperature: 31.78 *C
Temperature: -63.80 *C
Temperature: -45.58 *C
Temperature: -37.82 *C
Temperature: -273.15 *C
Temperature: -69.93 *C
Temperature: -273.15 *C
Temperature: -273.15 *C
Temperature: -273.15 *C
Temperature: -273.15 *C
Temperature: -273.15 *C
Temperature: -65.60 *C
Temperature: -273.15 *C
Temperature: -273.15 *C
Temperature: -273.15 *C
Temperature: -273.15 *C
Temperature: -69.93 *C
Temperature: -273.15 *C
Temperature: -273.15 *C
Temperature: -273.15 *C
Temperature: -273.15 *C
Temperature: -273.15 *C
Temperature: -273.15 *C
Temperature: -273.15 *C
Temperature: -65.60 *C
Temperature: -273.15 *C
Temperature: -76.92 *C
Temperature: -76.86 *C
Temperature: -65.60 *C
Temperature: -273.15 *C
Temperature: -273.15 *C
Temperature: -273.15 *C
Temperature: -273.15 *C
Temperature: -54.32 *C
Temperature: -273.15 *C
Temperature: -59.87 *C
Temperature: -273.15 *C
Temperature: -65.60 *C
Temperature: -65.60 *C
Temperature: -76.93 *C
Temperature: -273.15 *C
Temperature: -76.85 *C
Temperature: -273.15 *C
Temperature: 26.52 *C
Temperature: 28.75 *C
Temperature: 28.34 *C
Temperature: 30.89 *C
Temperature: 27.32 *C
Temperature: 28.69 *C
Temperature: 28.29 *C
Temperature: 26.36 *C
Temperature: 28.24 *C
Temperature: 30.18 *C
Temperature: 28.48 *C
Temperature: 28.15 *C
Temperature: 27.54 *C
Temperature: 28.06 *C
Temperature: 27.53 *C
Temperature: 29.69 *C
Temperature: 27.66 *C
Temperature: 25.89 *C
Temperature: 28.56 *C
Temperature: 28.03 *C
Temperature: 28.10 *C
